Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
CuPd,Pm-3m,-0.120728,-0.215071,0.03,0.13,2,2,-0.120728,-0.215071,Indirect,Indirect,None,H-11464
Cu,Im-3m,0.035409,0.03089,0.0,0.15,1,1,0.035409,0.03089,N.A.,Indirect,0.0,H-13359
Cu,Fm-3m,0.0,0.0,0.08,0.3,1,1,0.0,0.0,Indirect,Indirect,0.0,H-96
Dy2C,R-3m,-0.286623,-0.404903,0.0,0.0,3,2,-0.286623,-0.404903,N.A.,N.A.,None,H-6397
DyAg2,I4/mmm,-0.330395,-0.338618,0.0,0.0,3,2,-0.330395,-0.338618,N.A.,N.A.,-0.2311,H-11299
DyAl,Pm-3m,-0.394473,-0.493558,0.0,0.0,2,2,-0.394473,-0.493558,N.A.,N.A.,None,H-12991
DyAu,Pm-3m,-0.870896,-0.899917,0.0,0.0,2,2,-0.870896,-0.899917,N.A.,N.A.,-0.8644,H-2148
DyB2,P6/mmm,-0.563477,-0.643772,0.0,0.0,3,2,-0.563477,-0.643772,N.A.,N.A.,-0.313,H-907
DyBiPd,F-43m,-0.939987,-1.196091,0.0,0.11,3,3,-0.939987,-1.196091,N.A.,Direct,None,H-892
DyBiPt,F-43m,-1.036861,-1.260371,0.17,0.0,3,3,-1.036861,-1.260371,Indirect,Direct,None,H-11123
DyBi,Fm-3m,-0.878477,-1.115419,0.06,0.0,2,2,-0.878477,-1.115419,Indirect,N.A.,None,H-10821
DyCd,Pm-3m,-0.326009,-0.377361,0.0,0.0,2,2,-0.326009,-0.377361,N.A.,N.A.,None,H-4244
DyHg,Pm-3m,-0.492694,-0.56883,0.0,0.0,2,2,-0.490035,-0.599701,N.A.,N.A.,None,H-5814
DyIn3,Pm-3m,-0.414434,-0.537762,0.0,0.0,4,2,-0.414434,-0.537762,N.A.,N.A.,-0.4985,H-584
DyIn,Pm-3m,-0.466994,-0.568253,0.0,0.0,2,2,-0.466994,-0.568253,N.A.,N.A.,None,H-5245
DyMg,Pm-3m,-0.077621,-0.119171,0.0,0.0,2,2,-0.077621,-0.119171,N.A.,N.A.,None,H-7943
DyN,Fm-3m,-1.830062,-1.827894,0.05,0.85,2,2,-1.707751,-1.900243,Indirect,Indirect,None,H-11016
DyNiBi,F-43m,-0.688863,-0.872149,0.2,0.31,3,3,-0.688863,-0.872149,Indirect,Indirect,None,H-12656
DyNiSb,F-43m,-0.908347,-1.120002,0.3,0.46,3,3,-0.908347,-1.120002,Indirect,Indirect,None,H-7347
DyPPt,P-6m2,-1.466436,-1.62096,0.0,0.0,3,3,-1.351439,-1.555297,N.A.,N.A.,None,H-9359
DyP,Fm-3m,-1.786159,-1.939228,0.0,0.1,2,2,-1.613663,-1.840733,N.A.,Indirect,None,H-4800
DyPbAu,F-43m,-0.6846,-0.80284,0.0,0.01,3,3,-0.6846,-0.80284,N.A.,Direct,None,H-8673
DyS,Fm-3m,-2.20608,-2.269725,0.0,0.0,2,2,-1.987836,-2.211014,N.A.,N.A.,None,H-8475
DySb2,C222,-0.205539,-0.235468,0.0,0.0,3,2,-0.205539,-0.235468,N.A.,N.A.,None,H-3610
DySb,Fm-3m,-1.132762,-1.4139,0.09,0.0,2,2,-1.132762,-1.4139,Indirect,N.A.,None,H-9221
DySe,Fm-3m,-1.741245,-1.987037,0.0,0.0,2,2,-1.741245,-1.987037,N.A.,N.A.,None,H-6532
DySi2,Cmmm,-0.522973,-0.555053,0.0,0.0,3,2,-0.522973,-0.555053,N.A.,N.A.,-0.5659,H-7216
DyTe,Fm-3m,-1.271407,-1.54187,0.0,0.0,2,2,-1.271407,-1.54187,N.A.,N.A.,None,H-5507
DyZn,P4/mmm,-0.345844,-0.39191,0.0,0.0,2,2,-0.345844,-0.39191,N.A.,N.A.,None,H-1178
Dy,Im-3m,0.145381,0.134111,0.0,0.0,1,1,0.145381,0.134111,N.A.,N.A.,0.0,H-118
Dy,Fm-3m,0.017648,0.036901,0.0,0.01,1,1,0.017648,0.036901,N.A.,Indirect,0.0,H-193
Dy,R-3m,0.0,0.0,0.0,0.0,3,1,0.0,0.0,N.A.,N.A.,0.0,H-347
ErAg,Pm-3m,-0.345075,-0.343175,0.0,0.0,2,2,-0.345075,-0.343175,N.A.,N.A.,-0.4654,H-5978
ErAl3,Pm-3m,-0.41458,-0.49302,0.0,0.0,4,2,-0.41458,-0.49302,N.A.,N.A.,None,H-460
ErAs,Fm-3m,-1.514402,-1.774109,0.0,0.0,2,2,-1.514402,-1.774109,N.A.,N.A.,None,H-4022
ErAs,Pm-3m,-1.016366,-1.187731,0.0,0.0,2,2,-1.016366,-1.187731,N.A.,N.A.,None,H-7651
ErAu2,I4/mmm,-0.89133,-0.916325,0.0,0.0,3,2,-0.89133,-0.916325,N.A.,N.A.,-0.8903,H-8830
ErB2,Cmmm,-0.623578,-0.696064,0.0,0.0,3,2,-0.623578,-0.696064,N.A.,N.A.,-0.2829,H-10421
ErBi,Fm-3m,-0.83129,-1.059694,0.0,0.0,2,2,-0.83129,-1.059694,N.A.,N.A.,None,H-2209
ErCd,Pm-3m,-0.322533,-0.36781,0.0,0.0,2,2,-0.322533,-0.36781,N.A.,N.A.,None,H-5089
ErCu,Pm-3m,-0.278432,-0.284016,0.0,0.0,2,2,-0.278432,-0.284016,N.A.,N.A.,None,H-6126
ErH2,Fm-3m,-0.776756,-0.778685,0.0,0.14,3,2,-0.71145,-0.810988,N.A.,Indirect,None,H-2354
ErHg,Pm-3m,-0.491652,-0.562554,0.0,0.0,2,2,-0.488993,-0.593426,N.A.,N.A.,None,H-8049
ErInAu2,Fm-3m,-0.709564,-0.760074,0.09,0.29,4,3,-0.709564,-0.760074,Indirect,Indirect,None,H-807
ErIr,Pm-3m,-0.885421,-1.058832,0.0,0.0,2,2,-0.885421,-1.058832,N.A.,N.A.,-0.8592,H-10735
ErN,Pm-3m,-0.94825,-0.94183,0.01,0.37,2,2,-0.82594,-1.014179,Indirect,Indirect,None,H-4637
ErNiSb,F-43m,-0.906855,-1.112888,0.26,0.49,3,3,-0.906855,-1.112888,Indirect,Indirect,None,H-9908
ErP,Fm-3m,-1.782073,-1.9264,0.0,0.08,2,2,-1.609577,-1.827905,N.A.,Indirect,None,H-5718
ErPbAu,F-43m,-0.663339,-0.775695,0.0,0.0,3,3,-0.663339,-0.775695,N.A.,Direct,None,H-10862
ErPd,Pm-3m,-0.916179,-1.068034,0.0,0.0,2,2,-0.916179,-1.068034,N.A.,N.A.,-0.9442,H-6150
ErRh,Pm-3m,-0.915622,-1.15302,0.0,0.0,2,2,-0.915622,-1.15302,N.A.,N.A.,-0.9058,H-10096
ErSi2,P6/mmm,-0.4887,-0.509894,0.0,0.0,3,2,-0.4887,-0.509894,N.A.,N.A.,-0.6488,H-9481
ErTe,Fm-3m,-1.200335,-1.423171,0.0,0.0,2,2,-1.200335,-1.423171,N.A.,N.A.,None,H-2432
ErTl,Pm-3m,-0.306272,-0.409366,0.0,0.0,2,2,-0.306272,-0.409366,N.A.,N.A.,None,H-13051
ErZn,Pm-3m,-0.353044,-0.388112,0.0,0.0,2,2,-0.353044,-0.388112,N.A.,N.A.,None,H-7496
Er,Cmcm,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-12
Er,Fm-3m,0.025804,0.061688,0.0,0.1,1,1,0.025804,0.061688,N.A.,Indirect,0.0,H-238
EuCd,Pm-3m,-0.472031,-0.463988,0.0,0.0,2,2,-0.472031,-0.463988,N.A.,N.A.,None,H-13116
EuHg,Pm-3m,-0.712698,-0.71961,0.0,0.0,2,2,-0.710039,-0.750482,N.A.,N.A.,None,H-2732
EuIn,P4/mmm,-0.575266,-0.642138,0.0,0.0,2,2,-0.575266,-0.642138,N.A.,N.A.,None,H-3864
EuMg,Pm-3m,-0.08962,-0.112066,0.0,0.0,2,2,-0.08962,-0.112066,N.A.,N.A.,None,H-5025
EuN,Fm-3m,-0.608413,-0.331547,0.0,0.0,2,2,-0.486103,-0.403896,N.A.,N.A.,None,H-5732
EuO,Fm-3m,-3.491577,-3.653213,2.72,4.11,2,2,-3.204555,-3.58286,Direct,Direct,-3.0575,H-7532
EuP,Fm-3m,-0.97498,-0.911485,0.0,0.0,2,2,-0.802484,-0.81299,N.A.,N.A.,None,H-1347
EuPb,P4/mmm,-0.670624,-0.792968,0.0,0.0,2,2,-0.670624,-0.792968,N.A.,N.A.,None,H-8080
EuS,Fm-3m,-2.539466,-2.609166,2.03,2.88,2,2,-2.321222,-2.550455,Indirect,Indirect,-2.1682,H-1655
EuSe,Fm-3m,-2.198249,-2.457377,1.76,2.56,2,2,-2.198249,-2.457377,Indirect,Indirect,None,H-8430
EuSi2,Cmmm,-0.466157,-0.471869,0.0,0.0,3,2,-0.466157,-0.471869,N.A.,N.A.,None,H-10494
EuTe,Pm-3m,-1.590255,-1.907809,0.27,0.65,2,2,-1.590255,-1.907809,Indirect,Direct,None,H-11297
EuTe,Fm-3m,-1.818242,-2.077191,1.34,1.98,2,2,-1.818242,-2.077191,Indirect,Indirect,None,H-12358
EuTl,Pm-3m,-0.559501,-0.636374,0.0,0.0,2,2,-0.559501,-0.636374,N.A.,N.A.,None,H-8085
EuZnGe,Pm,-0.638688,-0.693213,0.0,0.0,3,3,-0.638688,-0.693213,N.A.,N.A.,None,H-10686
Eu,Im-3m,0.0,0.0,0.05,0.09,1,1,0.0,0.0,Indirect,Indirect,0.0,H-18
Eu,Fm-3m,0.01496,0.000574,0.06,0.26,1,1,0.01496,0.000574,Indirect,Indirect,0.0,H-284
F,C2/c,0.0,0.001629,2.59,5.81,4,1,0.0,0.001629,Direct,Direct,None,H-262
F,C2/m,0.00133,0.0,2.5,5.71,4,1,0.00133,0.0,Indirect,Indirect,None,H-62
FeN,F-43m,-0.251355,0.523574,0.0,0.0,2,2,-0.129045,0.451225,N.A.,N.A.,None,H-6837
FeNi,P4/mmm,-0.065069,-0.172765,0.0,0.0,2,2,-0.065069,-0.172765,N.A.,N.A.,None,H-10384
FeRh,Pm-3m,-0.031366,-0.564112,0.0,0.0,2,2,-0.031366,-0.564112,N.A.,N.A.,None,H-6094
FeSe,P4/mmm,0.242879,0.154918,0.0,0.0,2,2,0.242879,0.154918,N.A.,N.A.,None,H-2915
Fe,Im-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-139
Fe,P63/mmc,0.088773,1.886084,0.0,0.0,2,1,0.088773,1.886084,N.A.,N.A.,0.0,H-155
Ga2Au,Fm-3m,-0.240161,0.08215,0.0,0.0,3,2,-0.240161,0.08215,N.A.,N.A.,None,H-10930
GaAg,Pm-3m,0.052469,0.311841,0.0,0.0,2,2,0.052469,0.311841,N.A.,N.A.,None,H-1641
GaAs,F-43m,-0.348886,-0.23353,0.17,0.99,2,2,-0.348886,-0.23353,Direct,Direct,-0.4604,H-5110
GaBi,F-43m,0.006724,0.14691,0.09,0.01,2,2,0.006724,0.14691,Indirect,Indirect,None,H-4406
GaP,F-43m,-0.576422,-0.376235,1.6,2.35,2,2,-0.403926,-0.27774,Direct,Indirect,-0.5941,H-4880
GaRh,Pm-3m,-0.658791,-0.692968,0.0,0.0,2,2,-0.658791,-0.692968,N.A.,N.A.,-0.7587,H-2713
GaRu,Pm-3m,-0.263539,-0.207693,0.0,0.0,2,2,-0.263539,-0.207693,N.A.,N.A.,-0.3669,H-519
GaSb,F-43m,-0.165077,-0.039318,0.0,0.46,2,2,-0.165077,-0.039318,N.A.,Direct,-0.2155,H-5075
Ga,Cmca,0.0,0.464676,0.0,0.0,4,1,0.0,0.464676,N.A.,N.A.,0.0,H-192
Ga,I4/mmm,0.019496,0.519714,0.0,0.0,1,1,0.019496,0.519714,N.A.,N.A.,0.0,H-273
Ga,P-1,0.016745,0.0,0.0,0.0,2,1,0.016745,0.0,N.A.,N.A.,0.0,H-34
Ga,C2/m,0.018303,0.520652,0.0,0.0,4,1,0.018303,0.520652,N.A.,N.A.,0.0,H-89
GdAg2,I4/mmm,-0.314293,-0.323508,0.0,0.0,3,2,-0.314293,-0.323508,N.A.,N.A.,-0.2477,H-10085
GdAg,Pm-3m,-0.316442,-0.322372,0.0,0.0,2,2,-0.316442,-0.322372,N.A.,N.A.,None,H-7661
GdAl,Pm-3m,-0.390658,-0.49705,0.0,0.0,2,2,-0.390658,-0.49705,N.A.,N.A.,-0.4084,H-9612
GdAs,Fm-3m,-1.540086,-1.806471,0.0,0.0,2,2,-1.540086,-1.806471,N.A.,N.A.,None,H-11222
GdAu2,I4/mmm,-0.856453,-0.883227,0.0,0.0,3,2,-0.856453,-0.883227,N.A.,N.A.,None,H-949
GdAu,Pm-3m,-0.84509,-0.872476,0.0,0.0,2,2,-0.84509,-0.872476,N.A.,N.A.,None,H-4821
GdBiPt,F-43m,-1.039712,-1.264385,0.0,0.0,3,3,-1.039712,-1.264385,N.A.,Direct,None,H-8641
GdBi,Fm-3m,-0.917829,-1.156182,0.04,0.0,2,2,-0.917829,-1.156182,Indirect,N.A.,None,H-11046
GdC2,I4/mmm,-0.189245,-0.249928,0.0,0.0,3,2,-0.189245,-0.249928,N.A.,N.A.,-0.257,H-1644
GdCd,Pm-3m,-0.327205,-0.374448,0.0,0.0,2,2,-0.327205,-0.374448,N.A.,N.A.,None,H-1596
GdCu,Pm-3m,-0.222444,-0.242087,0.0,0.04,2,2,-0.222444,-0.242087,N.A.,Indirect,None,H-3566
GdGa2,Cmmm,-0.665188,-0.472461,0.0,0.0,3,2,-0.665188,-0.472461,N.A.,N.A.,None,H-5668
GdH2,Fm-3m,-0.76535,-0.778209,0.0,0.09,3,2,-0.700044,-0.810512,N.A.,Indirect,None,H-5996
GdIn,Pm-3m,-0.489945,-0.601571,0.0,0.0,2,2,-0.489945,-0.601571,N.A.,N.A.,None,H-4461
GdNiBi,F-43m,-0.693262,-0.875874,0.24,0.34,3,3,-0.693262,-0.875874,Indirect,Indirect,None,H-12029
GdO,F-43m,-2.966657,-3.041836,0.0,0.0,2,2,-2.679635,-2.971483,N.A.,N.A.,None,H-13273
GdP,Fm-3m,-1.777938,-1.930971,0.0,0.08,2,2,-1.605441,-1.832476,N.A.,Indirect,None,H-8320
GdPt3,Pm-3m,-0.969152,-1.118907,0.0,0.0,4,2,-0.969152,-1.118907,N.A.,N.A.,None,H-608
GdRh,Pm-3m,-0.786953,-1.015435,0.0,0.0,2,2,-0.786953,-1.015435,N.A.,N.A.,-0.7504,H-3806
GdS,Fm-3m,-2.235844,-2.304831,0.0,0.0,2,2,-2.0176,-2.24612,N.A.,N.A.,None,H-3717
GdSbPt,F-43m,-1.208456,-1.463904,0.11,0.73,3,3,-1.208456,-1.463904,Direct,Direct,None,H-11296
GdSbPt,F-43m,-0.659219,-0.894162,0.0,0.28,3,3,-0.659219,-0.894162,N.A.,Direct,None,H-1135
GdSb,Fm-3m,-1.163515,-1.443348,0.08,0.0,2,2,-1.163515,-1.443348,Indirect,N.A.,None,H-11211
GdSe,Fm-3m,-1.787696,-2.039499,0.0,0.01,2,2,-1.787696,-2.039499,N.A.,Indirect,None,H-11125
GdSi2,Cmmm,-0.549853,-0.590152,0.0,0.0,3,2,-0.549853,-0.590152,N.A.,N.A.,-0.6115,H-1099
GdTe,Fm-3m,-1.332972,-1.575766,0.0,0.0,2,2,-1.332972,-1.575766,N.A.,N.A.,None,H-4135
GdTh,Pm-3m,0.160133,0.140851,0.0,0.0,2,2,0.160133,0.140851,N.A.,N.A.,None,H-7043
GdTl,Pm-3m,-0.363244,-0.479493,0.0,0.0,2,2,-0.363244,-0.479493,N.A.,N.A.,None,H-893
Gd,Cmcm,0.0,0.002329,0.0,0.0,4,1,0.0,0.002329,N.A.,N.A.,0.0,H-222
Gd,R-3m,0.00124,0.0,0.0,0.0,3,1,0.00124,0.0,N.A.,N.A.,0.0,H-239
Gd,Fm-3m,0.01256,0.025623,0.0,0.0,1,1,0.01256,0.025623,N.A.,N.A.,0.0,H-53
GeC,F-43m,0.435704,0.378074,1.74,2.39,2,2,0.435704,0.378074,Indirect,Indirect,None,H-1743
GeP,I4mm,-0.111687,-0.002691,0.0,0.0,2,2,0.060809,0.095804,N.A.,N.A.,-0.1088,H-3664
GeP,F-43m,0.104683,0.280064,0.0,0.0,2,2,0.277179,0.378559,N.A.,N.A.,-0.1088,H-6223
GeSe,Fm-3m,-0.213053,-0.162678,0.44,0.26,2,2,-0.213053,-0.162678,Direct,Direct,-0.3578,H-2528
GeTe,Pm-3m,0.246424,0.341025,0.0,0.0,2,2,0.246424,0.341025,N.A.,N.A.,-0.1036,H-4961
Ge,Fd-3m,0.0,0.0,0.0,0.34,2,1,0.0,0.0,Direct,Direct,0.0,H-256
Ge,Fm-3m,0.329826,0.481056,0.0,0.0,1,1,0.329826,0.481056,N.A.,N.A.,0.0,H-294
H2Se,Fm-3m,0.707653,0.92453,0.0,0.0,3,2,0.77296,0.892227,N.A.,N.A.,None,H-9326
HBr,Fmmm,-0.259319,0.00526,1.38,2.39,2,2,0.044835,0.033938,Indirect,Indirect,None,H-11884
HCN,I4mm,0.183799,0.380044,6.81,8.38,3,3,0.297992,0.31566,Indirect,Indirect,None,H-1054
HCN,Imm2,0.183385,0.379983,6.77,8.34,3,3,0.297579,0.315599,Indirect,Indirect,None,H-8403
HCl,Fm-3m,0.404044,0.850767,0.0,0.0,2,2,0.753287,0.880674,N.A.,N.A.,None,H-2740
HPd,Fm-3m,-0.126358,-0.151396,0.0,0.1,2,2,-0.077378,-0.175623,N.A.,Indirect,None,H-6786
H,Fm-3m,1.210205,1.317087,0.0,0.7,1,1,1.210205,1.317087,N.A.,Indirect,None,H-285
H,P-1,0.0,7.4e-05,7.55,9.02,2,1,0.0,7.4e-05,Indirect,Indirect,None,H-358
H,P-1,0.000466,0.0,7.99,9.47,2,1,0.000466,0.0,Indirect,Indirect,None,H-41
He,P6/mmm,0.003588,0.005672,16.24,18.81,1,1,0.003588,0.005672,Indirect,Indirect,None,H-128
He,Fm-3m,0.0,0.0,18.12,20.85,1,1,0.0,0.0,Indirect,Indirect,None,H-295
He,Im-3m,0.000264,0.001541,18.02,20.67,1,1,0.000264,0.001541,Indirect,Indirect,None,H-345
Hf2Au,I4/mmm,-0.446648,-0.53591,0.0,0.0,3,2,-0.446648,-0.53591,Indirect,N.A.,None,H-7220
Hf2Hg,I4/mmm,-0.126401,-0.257615,0.0,0.0,3,2,-0.124629,-0.278197,N.A.,N.A.,None,H-7061
Hf2Pd,I4/mmm,-0.519738,-0.664853,0.0,0.0,3,2,-0.519738,-0.664853,N.A.,N.A.,-0.5431,H-7269
Hf2Tl,I4/mmm,0.023947,-0.138807,0.0,0.0,3,2,0.023947,-0.138807,N.A.,N.A.,None,H-11018
Hf2Zn,I4/mmm,-0.175597,-0.270896,0.0,0.0,3,2,-0.175597,-0.270896,N.A.,N.A.,None,H-9998
HfB2,P6/mmm,-1.022048,-1.155451,0.0,0.0,3,2,-1.022048,-1.155451,N.A.,N.A.,-1.1361,H-8977
HfB,Fm-3m,-0.415952,-0.475616,0.0,0.0,2,2,-0.415952,-0.475616,N.A.,N.A.,None,H-7638
HfC,Fm-3m,-0.949986,-1.130414,0.0,0.0,2,2,-0.949986,-1.130414,N.A.,N.A.,-1.1925,H-11597
HfC,P-6m2,-0.185719,-0.288533,0.09,0.0,2,2,-0.185719,-0.288533,Indirect,N.A.,-1.1925,H-6893
HfN,Fm-3m,-1.870502,-1.879664,0.0,0.0,2,2,-1.748192,-1.952013,N.A.,N.A.,-1.9132,H-11775
HfO2,Fm-3m,-3.856117,-4.11626,3.8,5.35,3,2,-3.47342,-4.022457,Direct,Direct,-3.8541,H-10812
HfPt,Pm-3m,-0.972095,-1.110692,0.0,0.0,2,2,-0.972095,-1.110692,N.A.,Indirect,-1.1784,H-961
HfRu,Pm-3m,-0.793618,-1.119451,0.0,0.02,2,2,-0.793618,-1.119451,N.A.,Indirect,-0.9514,H-4645
HfSbRu,F-43m,-0.515908,-0.759119,0.0,0.0,3,3,-0.515908,-0.759119,N.A.,N.A.,None,H-10127
HfSe,P-6m2,-1.173698,-1.444848,0.0,0.08,2,2,-1.173698,-1.444848,N.A.,Indirect,None,H-11832
HfSnPd,F-43m,-0.699772,-0.924025,0.38,0.61,3,3,-0.708397,-0.921348,Indirect,Indirect,None,H-3532
HfSnPt,F-43m,-0.254589,-0.3232,0.0,0.0,3,3,-0.263214,-0.320523,N.A.,N.A.,None,H-5264
HfTc,Pm-3m,-0.455983,-0.629678,0.0,0.0,2,2,-0.455983,-0.629678,N.A.,N.A.,None,H-10021
Hf,Fm-3m,0.072185,0.0,0.0,0.0,1,1,0.072185,0.0,N.A.,N.A.,0.0,H-143
Hg2Pt,P4/mmm,-0.053226,-0.132969,0.0,0.0,3,2,-0.049681,-0.174131,N.A.,N.A.,None,H-12868
Hg2Rh,P4/mmm,0.010622,-0.078679,0.0,0.0,3,2,0.014167,-0.119841,N.A.,N.A.,None,H-9013
HgF2,Fm-3m,-1.651738,-1.627063,0.9,2.85,3,2,-1.383022,-1.510973,Direct,Indirect,-1.4599,H-5721
HgPd,P4/mmm,-0.157025,-0.323049,0.0,0.0,2,2,-0.154366,-0.353921,N.A.,N.A.,None,H-8008
HgPt,P4/mmm,0.063205,-0.061677,0.0,0.0,2,2,0.065864,-0.092548,N.A.,N.A.,None,H-11288
HgS,F-43m,-0.341083,-0.293056,0.0,0.34,2,2,-0.12018,-0.265217,N.A.,Direct,-0.3057,H-11542
HgSe,F-43m,-0.205117,-0.323041,0.0,0.09,2,2,-0.202458,-0.353913,N.A.,Direct,-0.3078,H-6096
HgSe,Fm-3m,-0.044599,-0.062456,0.0,0.0,2,2,-0.04194,-0.093328,N.A.,N.A.,-0.3078,H-6702
HgTe,F-43m,-0.165958,-0.246634,0.0,0.0,2,2,-0.163299,-0.277506,N.A.,Direct,-0.2349,H-6494
Hg,C2/m,0.0,0.004013,0.0,0.08,3,1,0.0,0.004013,N.A.,Indirect,-0.0011,H-144
Hg,I4/mmm,0.001566,0.0,0.0,0.01,1,1,0.001566,0.0,N.A.,Indirect,-0.0011,H-181
Ho2C,R-3m,-0.308858,-0.401255,0.0,0.0,3,2,-0.308858,-0.401255,N.A.,N.A.,None,H-9277
HoAg2,I4/mmm,-0.336445,-0.331113,0.0,0.0,3,2,-0.336445,-0.331113,N.A.,N.A.,-0.2591,H-2452
HoAg,Pm-3m,-0.339977,-0.325757,0.0,0.0,2,2,-0.339977,-0.325757,N.A.,N.A.,None,H-2208
HoAs,Fm-3m,-1.524566,-1.772542,0.0,0.0,2,2,-1.524566,-1.772542,N.A.,N.A.,None,H-2709
HoAu2,I4/mmm,-0.884741,-0.9039,0.0,0.0,3,2,-0.884741,-0.9039,N.A.,N.A.,-0.8768,H-8332
HoBiPt,F-43m,-1.032602,-1.243569,0.18,0.0,3,3,-1.032602,-1.243569,Indirect,Direct,None,H-7756
HoBi,Fm-3m,-0.855553,-1.072692,0.0,0.0,2,2,-0.855553,-1.072692,N.A.,N.A.,None,H-7692
HoC2,I4/mmm,-0.202737,-0.247211,0.0,0.0,3,2,-0.202737,-0.247211,N.A.,N.A.,-0.2964,H-12079
HoCu,Pm-3m,-0.266535,-0.261223,0.0,0.0,2,2,-0.266535,-0.261223,N.A.,N.A.,None,H-11031
HoH2,Fm-3m,-0.776798,-0.772272,0.0,0.15,3,2,-0.711491,-0.804575,N.A.,Indirect,None,H-1019
HoHSe,P-6m2,-1.477392,-1.629525,1.49,2.26,3,3,-1.444739,-1.645676,Indirect,Indirect,None,H-7104
HoHg,Pm-3m,-0.49295,-0.550565,0.0,0.0,2,2,-0.490291,-0.581437,N.A.,N.A.,None,H-3123
HoIn,Pm-3m,-0.457169,-0.542288,0.0,0.0,2,2,-0.457169,-0.542288,N.A.,N.A.,None,H-6000
HoIr,Pm-3m,-0.852874,-1.007903,0.0,0.0,2,2,-0.852874,-1.007903,N.A.,N.A.,-0.8364,H-5227
HoNiBi,F-43m,-0.683828,-0.855627,0.18,0.36,3,3,-0.683828,-0.855627,Indirect,Indirect,None,H-2636
